annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-1	13595-13597	La	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-2	13598-13606	migliore	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-3	13607-13611	debb	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-4	13611-13612	’	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-5	13612-13618	essere	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-6	13619-13626	sottile	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-7	13627-13628	,	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-8	13629-13639	pieghevole	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-9	13640-13643	eoa	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-10	13644-13654	elasticità	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-11	13654-13655	,	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-12	13656-13658	ed	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-13	13659-13660	a	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-14	13661-13667	foggia	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-15	13668-13670	di	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-16	13671-13675	tabi	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-17	13676-13683	sottili	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-18	13684-13685	;	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-19	13686-13691	avere	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-20	13692-13694	un	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-21	13695-13701	calore	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-22	13702-13713	giallognolo	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-23	13714-13715	,	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-24	13716-13718	un	O
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-25	13719-13724	odore	B-Smell_Word
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-26	13725-13734	piacevole	B-Quality
annotation/1817_NUOVA_CHIMICA_DEL_GUSTO_E_DELL_OLFATTO__250_distribution.txt/teresa.tsv	87-27	13735-13736	,	O
